arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,PS,num-cpu,bus_speed,runtime,power
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,50,6,4096,132.7484,45.4717345
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,50,6,4096,1615.7946,46.99848607
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,50,6,4096,1729.6738,49.85009312
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,50,6,4096,3857.4716,48.38863882
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,50,6,4096,141.2712,45.3652266
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,50,6,4096,215.7498,56.12658737
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,50,6,4096,143.6323,19.41972662
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,50,6,4096,167.6843,59.0383238
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,50,6,4096,389.9301,40.68139392
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,50,6,4096,173.6275,16.94374451
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,50,6,4096,303.3626,42.371736
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,50,6,4096,416.8691,52.12259676
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,100,4,4096,1807.1753,14.75252567
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,100,4,4096,979.72,11.61219532
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,100,4,4096,667.3515,14.51424025
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,100,4,4096,587.4275,14.296743
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,150,4,4096,5238.7273,14.86633977
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,150,4,4096,2883.3605,19.26300926
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,150,4,4096,1936.5439,24.152099
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,150,4,4096,1592.1946,29.59003881
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,200,4,4096,13292.5093,13.75349799
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,200,4,4096,6417.3335,22.74363643
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,200,4,4096,4454.2926,27.3351598
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,200,4,4096,3676.8438,33.62470823
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,250,4,4096,24645.8806,16.58303903
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,250,4,4096,13810.8718,20.59639711
